Borough,CB,Neighbourhood,NO2,O3,PM25,BC
Queens,406,Forest Hills,20.0,31.1,8.5,0.9
Queens,407,Whitestone,19.0,31.9,8.5,0.9
Brooklyn,301,East Williamsburg,21.7,31.0,10.6,1.3
Brooklyn,306,Park Slope-Gowanus,21.4,30.0,9.9,1.1
Manhattan,107,Lincoln Square,23.9,28.1,9.8,1.3
Manhattan,104,Clinton,27.3,27.1,10.9,1.5
Staten Island,502,Grasmere-Arrochar-Ft. Wadsworth,13.6,32.5,7.8,0.7
Brooklyn,313,Gravesend,16.1,35.8,7.6,0.6
Queens,401,Steinway,20.6,31.8,9.0,1.0
Staten Island,503,Great Kills,11.8,34.1,7.3,0.6
Brooklyn,302,Clinton Hill,22.4,29.4,9.8,1.1
Brooklyn,316,Brownsville,20.1,32.1,8.9,0.9
Brooklyn,311,Bensonhurst East,19.1,33.4,8.0,0.7
Brooklyn,314,Flatbush,19.3,32.3,8.4,0.8
Queens,404,Corona,21.9,31.2,8.7,0.9
Brooklyn,302,Fort Greene,22.4,29.4,9.8,1.1
Manhattan,108,Upper East Side-Carnegie Hill,25.8,28.0,10.2,1.4
Queens,409,Kew Gardens,19.5,31.8,8.3,0.8
Brooklyn,312,Ocean Parkway South,19.9,32.0,8.5,0.8
Manhattan,103,Chinatown,24.3,28.0,9.9,1.4
Queens,405,Ridgewood,19.4,32.1,8.9,0.9
Bronx,206,East Tremont,21.4,29.8,9.4,1.1
Staten Island,502,Old Town-Dongan Hills-South Beach,13.6,32.5,7.8,0.7
Staten Island,503,Oakwood-Oakwood Beach,11.8,34.1,7.3,0.6
Staten Island,502,New Dorp-Midland Beach,13.6,32.5,7.8,0.7
Manhattan,107,Upper West Side,23.9,28.1,9.8,1.3
Manhattan,106,Stuyvesant Town-Cooper Village,29.3,25.8,11.2,1.5
Brooklyn,315,Madison,17.4,34.8,7.8,0.7
Queens,407,Queensboro Hill,19.0,31.9,8.5,0.9
Staten Island,503,Annadale-Huguenot-Prince's Bay-Eltingville,11.8,34.1,7.3,0.6
Bronx,206,Belmont,21.4,29.8,9.4,1.1
Bronx,205,Mount Hope,22.7,29.1,9.8,1.3
Staten Island,503,Arden Heights,11.8,34.1,7.3,0.6
Manhattan,105,Murray Hill-Kips Bay,32.9,24.3,12.3,1.7
Manhattan,102,West Village,26.3,27.2,10.6,1.6
Brooklyn,306,Carroll Gardens-Columbia Street-Red Hook,21.4,30.0,9.9,1.1
Manhattan,109,Morningside Heights,22.9,28.8,9.4,1.1
Queens,403,Jackson Heights,21.0,31.5,8.3,0.9
Bronx,207,Norwood,20.9,29.2,9.3,1.1
Bronx,205,University Heights-Morris Heights,22.7,29.1,9.8,1.3
Brooklyn,310,Bay Ridge,19.2,31.8,8.4,0.8
Brooklyn,314,Midwood,19.3,32.3,8.4,0.8
Queens,407,Murray Hill,19.0,31.9,8.5,0.9
Brooklyn,317,Rugby-Remsen Village,19.8,32.4,8.7,0.8
Queens,414,Far Rockaway-Bayswater,13.4,37.5,7.2,0.5
Brooklyn,304,Bushwick North,20.3,31.7,9.0,0.9
Queens,414,Hammels-Arverne-Edgemere,13.4,37.5,7.2,0.5
Bronx,206,Fordham South,21.4,29.8,9.4,1.1
Queens,413,Springfield Gardens South-Brookville,17.2,32.6,7.9,0.7
Queens,406,Rego Park,20.0,31.1,8.5,0.9
Queens,413,Queens Village,17.2,32.6,7.9,0.7
Brooklyn,308,Prospect Heights,21.3,30.7,8.9,0.9
Queens,407,Flushing,19.0,31.9,8.5,0.9
Brooklyn,311,Bensonhurst West,19.1,33.4,8.0,0.7
Brooklyn,317,Erasmus,19.8,32.4,8.7,0.8
Bronx,212,Woodlawn-Wakefield,19.0,29.8,9.1,1.0
Queens,403,East Elmhurst,21.0,31.5,8.3,0.9
Manhattan,108,Lenox Hill-Roosevelt Island,25.8,28.0,10.2,1.4
Queens,401,Astoria,20.6,31.8,9.0,1.0
Manhattan,106,Gramercy,29.3,25.8,11.2,1.5
