Year,GeoTypeName,Borough,Geography,Geography_id,Mean (ppb),10th Percentile (ppb),90th Percentile (ppb),
Summer 2015,Neighborhood (community district),Brooklyn,Bay Ridge and Dyker Heights (CD10),310,31.8,30.4,33.7,
Summer 2015,Neighborhood (community district),Queens,Bayside and Little Neck (CD11),411,31.4,30.4,32.3,
Summer 2015,Neighborhood (community district),Brooklyn,Bedford Stuyvesant (CD3),303,30.6,30.2,31.3,
Summer 2015,Neighborhood (community district),Bronx,Belmont and East Tremont (CD6),206,29.8,29.4,30.2,
Summer 2015,Neighborhood (community district),Brooklyn,Bensonhurst (CD11),311,33.4,32.6,34.1,
Summer 2015,Neighborhood (community district),Brooklyn,Borough Park (CD12),312,32.0,31.2,33.2,
Summer 2015,Neighborhood (community district),Brooklyn,Brownsville (CD16),316,32.1,31.7,32.5,
Summer 2015,Neighborhood (community district),Brooklyn,Bushwick (CD4),304,31.7,31.2,32.5,
Summer 2015,Neighborhood (community district),Manhattan,Central Harlem (CD10),110,29.1,28.5,29.9,
Summer 2015,Neighborhood (community district),Manhattan,Clinton and Chelsea (CD4),104,27.1,25.3,29.2,
Summer 2015,Neighborhood (community district),Brooklyn,Coney Island (CD13),313,35.8,34.5,37.2,
Summer 2015,Neighborhood (community district),Brooklyn,Crown Heights and Prospect Heights (CD8),308,30.7,29.9,31.5,
Summer 2015,Neighborhood (community district),Brooklyn,East Flatbush (CD17),317,32.4,31.6,33.1,
Summer 2015,Neighborhood (community district),Manhattan,East Harlem (CD11),111,29.6,28.8,30.8,
Summer 2015,Neighborhood (community district),Brooklyn,East New York and Starrett City (CD5),305,32.9,31.9,35.2,
Summer 2015,Neighborhood (community district),Queens,Elmhurst and Corona (CD4),404,31.2,30.6,31.8,
Summer 2015,Neighborhood (community district),Manhattan,Financial District (CD1),101,27.1,26.2,28.1,
Summer 2015,Neighborhood (community district),Brooklyn,Flatbush and Midwood (CD14),314,32.3,31.4,33.1,
Summer 2015,Neighborhood (community district),Brooklyn,Flatlands and Canarsie (CD18),318,34.7,33.0,37.8,
Summer 2015,Neighborhood (community district),Queens,Flushing and Whitestone (CD7),407,31.9,31.2,32.8,
Summer 2015,Neighborhood (community district),Bronx,Fordham and University Heights (CD5),205,29.1,28.7,29.6,
Summer 2015,Neighborhood (community district),Brooklyn,Fort Greene and Brooklyn Heights (CD2),302,29.4,28.3,30.8,
Summer 2015,Neighborhood (community district),Brooklyn,Greenpoint and Williamsburg (CD1),301,31.0,29.8,32.4,
Summer 2015,Neighborhood (community district),Manhattan,Greenwich Village and Soho (CD2),102,27.2,26.4,28.4,
Summer 2015,Neighborhood (community district),Bronx,Highbridge and Concourse (CD4),204,29.7,29.0,30.3,
Summer 2015,Neighborhood (community district),Queens,Hillcrest and Fresh Meadows (CD8),408,31.3,30.6,31.8,
Summer 2015,Neighborhood (community district),Bronx,Hunts Point and Longwood (CD2),202,31.8,30.4,33.5,
Summer 2015,Neighborhood (community district),Queens,Jackson Heights (CD3),403,31.5,30.9,32.1,
Summer 2015,Neighborhood (community district),Queens,Jamaica and Hollis (CD12),412,32.2,31.5,32.7,
Summer 2015,Neighborhood (community district),Queens,Kew Gardens and Woodhaven (CD9),409,31.8,31.1,32.3,
Summer 2015,Neighborhood (community district),Bronx,Kingsbridge Heights and Bedford (CD7),207,29.2,28.8,29.7,
Summer 2015,Neighborhood (community district),Queens,Long Island City and Astoria (CD1),401,31.8,30.9,33.6,
Summer 2015,Neighborhood (community district),Manhattan,Lower East Side and Chinatown (CD3),103,28.0,26.6,29.3,
Summer 2015,Neighborhood (community district),Manhattan,Midtown (CD5),105,24.3,23.1,25.5,
Summer 2015,Neighborhood (community district),Manhattan,Morningside Heights and Hamilton Heights (CD9),109,28.8,28.2,29.5,
Summer 2015,Neighborhood (community district),Bronx,Morris Park and Bronxdale (CD11),211,30.5,29.9,31.3,
Summer 2015,Neighborhood (community district),Bronx,Morrisania and Crotona (CD3),203,30.2,29.9,30.7,
Summer 2015,Neighborhood (community district),Bronx,Mott Haven and Melrose (CD1),201,30.8,30.1,31.9,
Summer 2015,Neighborhood (community district),Brooklyn,Park Slope and Carroll Gardens (CD6),306,30.0,28.9,31.5,
Summer 2015,Neighborhood (community district),Bronx,Parkchester and Soundview (CD9),209,31.2,30.0,33.0,
Summer 2015,Neighborhood (community district),Queens,Queens Village (CD13),413,32.6,31.6,33.6,
Summer 2015,Neighborhood (community district),Queens,Rego Park and Forest Hills (CD6),406,31.1,30.5,31.6,
Summer 2015,Neighborhood (community district),Queens,Ridgewood and Maspeth (CD5),405,32.1,31.2,33.1,
Summer 2015,Neighborhood (community district),Bronx,Riverdale and Fieldston (CD8),208,28.8,28.1,29.7,
Summer 2015,Neighborhood (community district),Queens,Rockaway and Broad Channel (CD14),414,37.5,35.6,39.2,
Summer 2015,Neighborhood (community district),Brooklyn,Sheepshead Bay (CD15),315,34.8,33.6,36.6,
Summer 2015,Neighborhood (community district),Staten Island,South Beach and Willowbrook (CD2),502,32.5,30.1,34.9,
Summer 2015,Neighborhood (community district),Brooklyn,South Crown Heights and Lefferts Gardens (CD9),309,31.2,30.7,31.9,
Summer 2015,Neighborhood (community district),Queens,South Ozone Park and Howard Beach (CD10),410,33.1,32.1,34.7,
Summer 2015,Neighborhood (community district),Staten Island,St. George and Stapleton (CD1),501,30.4,29.5,31.7,
Summer 2015,Neighborhood (community district),Manhattan,Stuyvesant Town and Turtle Bay (CD6),106,25.8,24.1,27.9,
Summer 2015,Neighborhood (community district),Brooklyn,Sunset Park (CD7),307,31.2,30.1,32.4,
Summer 2015,Neighborhood (community district),Bronx,Throgs Neck and Co-op City (CD10),210,31.7,30.0,34.0,
Summer 2015,Neighborhood (community district),Staten Island,Tottenville and Great Kills (CD3),503,34.1,32.6,35.5,
Summer 2015,Neighborhood (community district),Manhattan,Upper East Side (CD8),108,28.0,25.7,30.8,
