Borough,CB,Neighbourhood,TreesAmount
Queens,406,Forest Hills,6035.0
Queens,407,Whitestone,5501.0
Brooklyn,301,East Williamsburg,1870.0
Brooklyn,306,Park Slope-Gowanus,5103.0
Manhattan,107,Lincoln Square,1757.0
Manhattan,104,Clinton,1718.0
Staten Island,502,Grasmere-Arrochar-Ft. Wadsworth,1670.0
Brooklyn,313,Gravesend,1157.0
Queens,401,Steinway,4291.0
Staten Island,503,Great Kills,8824.0
Brooklyn,302,Clinton Hill,2359.0
Brooklyn,316,Brownsville,2253.0
Brooklyn,311,Bensonhurst East,2631.0
Brooklyn,314,Flatbush,4696.0
Queens,404,Corona,1649.0
Brooklyn,302,Fort Greene,1811.0
Manhattan,108,Upper East Side-Carnegie Hill,4087.0
Queens,409,Kew Gardens,1611.0
Brooklyn,312,Ocean Parkway South,1982.0
Manhattan,103,Chinatown,1242.0
Queens,405,Ridgewood,5300.0
Bronx,206,East Tremont,1795.0
Staten Island,502,Old Town-Dongan Hills-South Beach,3794.0
Staten Island,503,Oakwood-Oakwood Beach,4204.0
Staten Island,502,New Dorp-Midland Beach,4153.0
Manhattan,107,Upper West Side,5142.0
Manhattan,106,Stuyvesant Town-Cooper Village,416.0
Brooklyn,315,Madison,2780.0
Queens,407,Queensboro Hill,2338.0
Staten Island,503,Annadale-Huguenot-Prince's Bay-Eltingville,11022.0
Bronx,206,Belmont,1234.0
Bronx,205,Mount Hope,1512.0
Staten Island,503,Arden Heights,5874.0
Manhattan,105,Murray Hill-Kips Bay,1466.0
Manhattan,102,West Village,3101.0
Brooklyn,306,Carroll Gardens-Columbia Street-Red Hook,3440.0
Manhattan,109,Morningside Heights,2254.0
Queens,403,Jackson Heights,5657.0
Bronx,207,Norwood,1475.0
Bronx,205,University Heights-Morris Heights,1458.0
Brooklyn,310,Bay Ridge,5623.0
Brooklyn,314,Midwood,3858.0
Queens,407,Murray Hill,5200.0
Brooklyn,317,Rugby-Remsen Village,2627.0
Queens,414,Far Rockaway-Bayswater,3700.0
Brooklyn,304,Bushwick North,2661.0
Queens,414,Hammels-Arverne-Edgemere,2215.0
Bronx,206,Fordham South,755.0
Queens,413,Springfield Gardens South-Brookville,2931.0
Queens,406,Rego Park,2135.0
Queens,413,Queens Village,5119.0
Brooklyn,308,Prospect Heights,1257.0
Queens,407,Flushing,2498.0
Brooklyn,311,Bensonhurst West,3518.0
Brooklyn,317,Erasmus,1027.0
Bronx,212,Woodlawn-Wakefield,3243.0
Queens,403,East Elmhurst,1543.0
Manhattan,108,Lenox Hill-Roosevelt Island,2082.0
Queens,401,Astoria,3346.0
Manhattan,106,Gramercy,960.0
Queens,409,Woodhaven,3415.0
